timestamp,hour,day_of_week,is_weekend,outdoor_temperature,outdoor_humidity,occupancy,indoor_temperature,indoor_humidity,comfort_score,learning_quality,cooling_demand
2026-01-01 08:00:00,8,3,0,20.33,95.0,19,18.94,90.0,47.63,48.06,2.23
2026-01-01 08:05:00,8,3,0,24.93,75.35,15,22.96,66.76,80.23,81.3,16.01
2026-01-01 08:10:00,8,3,0,23.08,85.21,24,20.98,78.69,64.87,64.18,10.29
2026-01-01 08:15:00,8,3,0,21.01,95.0,30,19.07,88.84,47.72,48.19,0.34
2026-01-01 08:20:00,8,3,0,23.95,79.7,12,21.83,71.66,74.67,73.23,14.33
2026-01-01 08:25:00,8,3,0,23.23,87.43,17,21.59,79.17,65.22,66.14,13.4
2026-01-01 08:30:00,8,3,0,23.94,78.28,14,21.93,69.81,74.29,74.62,11.3
2026-01-01 08:35:00,8,3,0,24.97,81.74,24,23.09,74.53,79.73,81.54,20.12
2026-01-01 08:40:00,8,3,0,21.65,94.53,19,19.97,87.25,55.01,56.28,6.52
2026-01-01 08:45:00,8,3,0,21.98,88.13,13,19.52,80.14,57.25,58.84,0.0
2026-01-01 08:50:00,8,3,0,23.41,82.33,18,21.18,77.29,64.41,62.42,9.07
2026-01-01 08:55:00,8,3,0,20.87,92.94,26,18.89,88.78,50.46,50.14,0.0
2026-01-01 09:00:00,9,3,0,25.87,82.2,110,27.17,84.63,64.84,58.63,63.03
2026-01-01 09:05:00,9,3,0,29.94,60.57,115,31.73,63.02,68.36,59.39,89.3
2026-01-01 09:10:00,9,3,0,28.92,72.98,76,28.75,70.17,70.13,71.32,64.37
2026-01-01 09:15:00,9,3,0,26.3,77.39,119,27.88,80.89,68.77,57.44,69.45
2026-01-01 09:20:00,9,3,0,27.23,70.3,85,27.95,68.78,77.61,76.37,63.5
2026-01-01 09:25:00,9,3,0,26.56,76.78,79,26.82,75.33,76.37,77.95,52.55
2026-01-01 09:30:00,9,3,0,29.27,68.3,71,28.99,65.64,73.38,73.25,64.92
2026-01-01 09:35:00,9,3,0,25.81,77.38,85,25.91,76.76,78.9,78.2,48.41
2026-01-01 09:40:00,9,3,0,28.3,72.2,114,29.3,73.32,70.4,62.04,73.85
2026-01-01 09:45:00,9,3,0,29.43,65.82,105,30.31,64.93,67.84,63.21,79.58
2026-01-01 09:50:00,9,3,0,27.94,71.73,104,28.94,73.5,71.14,63.45,67.98
2026-01-01 09:55:00,9,3,0,29.27,68.86,101,29.91,69.4,67.79,60.94,76.11
2026-01-01 10:00:00,10,3,0,26.03,80.53,71,26.25,78.37,74.71,73.2,50.08
2026-01-01 10:05:00,10,3,0,28.52,67.55,93,28.98,68.96,70.92,66.02,68.58
2026-01-01 10:10:00,10,3,0,25.21,78.26,72,25.34,74.76,83.74,84.99,46.91
2026-01-01 10:15:00,10,3,0,25.38,75.93,98,26.8,75.99,77.19,71.9,59.0
2026-01-01 10:20:00,10,3,0,26.82,78.8,95,27.9,79.06,66.51,63.95,64.99
2026-01-01 10:25:00,10,3,0,28.61,73.76,78,28.62,72.45,74.26,76.1,63.17
2026-01-01 10:30:00,10,3,0,29.72,61.57,78,30.04,58.21,78.39,80.04,72.11
2026-01-01 10:35:00,10,3,0,26.38,74.84,103,27.41,75.81,76.32,69.55,64.49
2026-01-01 10:40:00,10,3,0,29.07,64.85,72,28.6,60.99,79.68,79.01,63.51
2026-01-01 10:45:00,10,3,0,29.37,70.16,86,30.34,70.88,66.85,67.32,71.2
2026-01-01 10:50:00,10,3,0,29.01,65.34,100,30.24,66.04,67.59,62.81,77.82
2026-01-01 10:55:00,10,3,0,29.91,68.04,85,30.31,65.26,72.02,71.6,72.46
2026-01-01 11:00:00,11,3,0,27.97,75.39,51,27.68,70.86,74.33,74.83,52.33
2026-01-01 11:05:00,11,3,0,28.11,73.21,59,27.64,67.95,78.98,79.65,50.58
2026-01-01 11:10:00,11,3,0,29.04,70.74,76,29.22,68.54,72.8,73.72,67.6
2026-01-01 11:15:00,11,3,0,27.07,76.2,55,26.93,73.97,78.68,80.43,49.74
2026-01-01 11:20:00,11,3,0,29.48,65.93,48,28.29,60.48,82.05,82.93,52.78
2026-01-01 11:25:00,11,3,0,25.65,74.07,64,25.09,70.2,85.48,85.96,41.77
2026-01-01 11:30:00,11,3,0,26.32,76.31,70,26.02,74.25,82.06,80.37,47.96
2026-01-01 11:35:00,11,3,0,25.45,78.92,48,25.04,72.98,83.14,81.2,36.35
2026-01-01 11:40:00,11,3,0,27.14,71.59,56,26.92,67.07,85.11,86.03,50.67
2026-01-01 11:45:00,11,3,0,26.42,75.14,45,25.01,68.94,89.25,91.18,35.86
2026-01-01 11:50:00,11,3,0,28.97,68.71,41,28.07,64.97,77.03,76.69,50.66
2026-01-01 11:55:00,11,3,0,26.12,78.26,77,26.56,76.59,78.05,77.94,54.28
2026-01-01 12:00:00,12,3,0,30.49,62.88,60,30.46,57.85,77.91,79.78,67.99
2026-01-01 12:05:00,12,3,0,30.73,64.16,51,29.79,58.26,76.59,78.37,62.66
2026-01-01 12:10:00,12,3,0,33.45,55.64,68,33.04,52.71,68.51,67.24,82.17
2026-01-01 12:15:00,12,3,0,34.33,51.12,67,34.67,48.18,55.92,54.17,92.6
2026-01-01 12:20:00,12,3,0,30.07,64.27,70,29.8,60.82,79.0,80.22,63.65
2026-01-01 12:25:00,12,3,0,30.98,66.29,44,30.2,60.41,74.25,73.96,62.58
2026-01-01 12:30:00,12,3,0,30.55,61.83,61,30.53,59.48,72.24,73.4,67.48
2026-01-01 12:35:00,12,3,0,32.72,55.35,49,32.32,50.55,68.92,70.14,76.0
2026-01-01 12:40:00,12,3,0,33.53,57.19,50,32.72,54.61,67.82,67.31,76.98
2026-01-01 12:45:00,12,3,0,35.82,47.43,70,35.98,46.16,51.71,50.53,96.31
2026-01-01 12:50:00,12,3,0,35.81,44.6,60,35.56,40.69,49.09,47.17,94.44
2026-01-01 12:55:00,12,3,0,30.49,59.63,68,30.06,56.65,79.66,80.63,66.03
2026-01-01 13:00:00,13,3,0,30.68,65.43,36,29.3,60.79,77.88,78.76,52.97
2026-01-01 13:05:00,13,3,0,32.92,56.57,42,32.14,51.91,68.84,69.82,70.85
2026-01-01 13:10:00,13,3,0,32.5,60.34,24,31.04,55.88,74.73,75.45,64.08
2026-01-01 13:15:00,13,3,0,34.24,54.1,24,32.19,48.38,63.42,64.15,65.6
2026-01-01 13:20:00,13,3,0,34.94,50.04,37,33.7,43.56,54.55,55.56,79.21
2026-01-01 13:25:00,13,3,0,31.68,58.72,34,30.19,53.57,76.95,78.71,61.44
2026-01-01 13:30:00,13,3,0,33.31,52.12,28,31.86,47.0,65.25,66.76,63.61
2026-01-01 13:35:00,13,3,0,30.2,63.68,37,28.86,59.06,80.65,81.89,56.5
2026-01-01 13:40:00,13,3,0,35.64,45.31,26,34.22,41.28,52.22,50.25,80.09
2026-01-01 13:45:00,13,3,0,34.32,55.09,37,32.73,50.75,67.75,65.99,70.67
2026-01-01 13:50:00,13,3,0,32.34,60.85,34,31.46,54.63,70.9,72.36,67.8
2026-01-01 13:55:00,13,3,0,30.37,59.36,39,29.44,52.72,81.3,80.56,58.03
2026-01-01 14:00:00,14,3,0,31.3,60.45,96,32.43,59.45,66.7,64.56,86.29
2026-01-01 14:05:00,14,3,0,31.48,57.88,91,32.54,55.45,71.26,68.53,88.21
2026-01-01 14:10:00,14,3,0,34.61,53.96,95,35.73,54.54,58.43,54.77,100.0
2026-01-01 14:15:00,14,3,0,30.33,59.81,77,30.06,59.1,75.21,74.66,69.58
